# time_flux P1 P2 Z PO4 Psupply
3.900000000000000000e+01 2.517341002062622457e-01 3.231389362243173302e-01 4.448893081720299847e-01 2.633192047604241970e-01 5.000000000000000278e-02
3.910000000000000142e+01 2.518289738082598594e-01 3.235847232683920494e-01 4.441021139598075318e-01 2.632703514409017731e-01 5.000000000000000278e-02
3.920000000000000284e+01 2.518289738082598594e-01 3.235847232683920494e-01 4.441021139598075318e-01 2.632703514409017731e-01 5.000000000000000278e-02
3.930000000000000426e+01 2.519369405567302156e-01 3.240304342723754338e-01 4.433199985991005398e-01 2.632145937422535886e-01 5.000000000000000278e-02
3.940000000000000568e+01 2.519369405567302156e-01 3.240304342723754338e-01 4.433199985991005398e-01 2.632145937422535886e-01 5.000000000000000278e-02
3.950000000000000000e+01 2.520577259357000277e-01 3.244758896508428414e-01 4.425431580139353449e-01 2.631520629127467870e-01 5.000000000000000278e-02
3.960000000000000142e+01 2.520577259357000277e-01 3.244758896508428414e-01 4.425431580139353449e-01 2.631520629127467870e-01 5.000000000000000278e-02
3.970000000000000284e+01 2.521910568062827318e-01 3.249209119990871253e-01 4.417717813583785236e-01 2.630828919085823614e-01 5.000000000000000278e-02
3.980000000000000426e+01 2.521910568062827318e-01 3.249209119990871253e-01 4.417717813583785236e-01 2.630828919085823614e-01 5.000000000000000278e-02
3.990000000000000568e+01 2.523366614433317778e-01 3.253653261626952009e-01 4.410060511299571662e-01 2.630072152639961192e-01 5.000000000000000278e-02
4.000000000000000000e+01 2.523366614433317778e-01 3.253653261626952009e-01 4.410060511299571662e-01 2.630072152639961192e-01 5.000000000000000278e-02
4.010000000000000142e+01 2.524942695705275075e-01 3.258089593051913813e-01 4.402461432830406807e-01 2.629251689626191379e-01 5.000000000000000278e-02
4.020000000000000284e+01 2.524942695705275075e-01 3.258089593051913813e-01 4.402461432830406807e-01 2.629251689626191379e-01 5.000000000000000278e-02
4.030000000000000426e+01 2.526636123940138035e-01 3.262516409736931911e-01 4.394922273420607262e-01 2.628368903101941934e-01 5.000000000000000278e-02
4.040000000000000568e+01 2.526636123940138035e-01 3.262516409736931911e-01 4.394922273420607262e-01 2.628368903101941934e-01 5.000000000000000278e-02
4.050000000000000000e+01 2.528444226346926449e-01 3.266932031625285338e-01 4.387444665144574207e-01 2.627425178087407498e-01 5.000000000000000278e-02
4.060000000000000142e+01 2.528444226346926449e-01 3.266932031625285338e-01 4.387444665144574207e-01 2.627425178087407498e-01 5.000000000000000278e-02
4.070000000000000284e+01 2.530364345592753805e-01 3.271334803747637521e-01 4.380030178032432997e-01 2.626421910322631614e-01 5.000000000000000278e-02
4.080000000000000426e+01 2.530364345592753805e-01 3.271334803747637521e-01 4.380030178032432997e-01 2.626421910322631614e-01 5.000000000000000278e-02
4.090000000000000568e+01 2.532393840101832549e-01 3.275723096815958413e-01 4.372680321190875463e-01 2.625360505040941761e-01 5.000000000000000278e-02
4.100000000000000000e+01 2.532393840101832549e-01 3.275723096815958413e-01 4.372680321190875463e-01 2.625360505040941761e-01 5.000000000000000278e-02
4.110000000000000142e+01 2.534530084343810108e-01 3.280095307795626303e-01 4.365396543918265704e-01 2.624242375759656687e-01 5.000000000000000278e-02
4.120000000000000284e+01 2.534530084343810108e-01 3.280095307795626303e-01 4.365396543918265704e-01 2.624242375759656687e-01 5.000000000000000278e-02
4.130000000000000426e+01 2.536770469112212822e-01 3.284449860455289083e-01 4.358180236813160580e-01 2.623068943088955329e-01 5.000000000000000278e-02
4.140000000000000568e+01 2.536770469112212822e-01 3.284449860455289083e-01 4.358180236813160580e-01 2.623068943088955329e-01 5.000000000000000278e-02
4.150000000000000000e+01 2.539112401793702234e-01 3.288785205894086405e-01 4.351032732875433351e-01 2.621841633559788831e-01 5.000000000000000278e-02
4.160000000000000142e+01 2.539112401793702234e-01 3.288785205894086405e-01 4.351032732875433351e-01 2.621841633559788831e-01 5.000000000000000278e-02
